Status,Date Signed,Tier,Tier Label,Funder Name,Min. Credit Score,Min. Monthly Revenue,Min. Time in Business,Max Funding Amount,Positions Funded,Factor Rate Range,Repayment Frequency,Funding Speed,Submission Email,CC Emails,Portal URL,Rep Name,Rep Email,Rep Phone,Key Notes
Active ✅,Pre-2026-03,B,Tier B – Mid-Tier,VOX Funding,500+,$10K+/mo,6+ months,$500000,"1st, 2nd",1.15 - 1.50,Daily/Weekly,24-48 hrs,submissions@voxfunding.com,wdorsey@voxfunding.com,,William Dorsey,wdorsey@voxfunding.com,,Strong 2nd position funder. B-C paper. Quick turnaround on approvals.
Active ✅,Pre-2026-03,C,Tier C – Flexible,Arsenal Funding,450+,$7K+/mo,4+ months,$250000,"1st thru 4th",1.25 - 1.50+,Daily,24 hrs,subs@arsenalfunding.com,,,,,,"C-D paper. Quick snap funding for smaller deals. Works deep positions. ISO agreement on file."
Active ✅,Pre-2026-03,B,Tier B – Mid-Tier,Forward Financing,500+,$10K+/mo,1+ year,$600000,"1st, 2nd",1.15 - 1.50,Daily/Weekly,Same day,,,"https://brokers.forwardfinancing.com",,Austin Kelley; Parker Richards,akelley@forwardfinancing.com; prichards@forwardfinancing.com,,Re-onboarded 2026-03-26. Great for bad credit merchants. Revenue-focused underwriting. 60% paydown for renewal. Est. 2012.
Active ✅,2026-03-02,C,Tier C – Flexible,Funderial,450+,$7K+/mo,3+ months,$250000,"2nd thru 5th",1.30 - 1.50+,Daily,24 hrs,subs@funderial.com,colton@funderial.com,,Colton Wilson,colton@funderial.com,,Deep position specialist. C-D paper. Higher rates reflect risk. Fast approvals. ISO signed via Conga Sign 3/2.
Active ✅,2026-03-02,B,Tier B – Mid-Tier,NewCo Capital Group / Capytal,500+,"NewCo $100K+/mo; Capytal $75K+/mo","NewCo 12 mo; Capytal 6 mo","NewCo $2M; Capytal $250K","NewCo 1st-4th; Capytal 2nd-7th","NewCo 1.xx; Capytal 1.xx",Daily/Weekly,24-48 hrs,submissions@newcocapitalgroup.com,"sara@newcocapitalgroup.com, Rebekah@newcocapitalgroup.com, jennie@newcocapitalgroup.com",,Alan Miller; Jennie Villano,alan@newcocapitalgroup.com,,NewCo (A-B paper) up to $2M/12mo – 14 pts max commission. Capytal (C-D paper) up to $250K/7mo – 12 pts max. Canada available. ISO DocuSigned 3/2. ≤7 neg days for NewCo.
Active ✅,2026-03-03,C,Tier C – Flexible,Splash Advance,450+,$7K+/mo,4+ months,$500000,"1st thru 3rd",1.20 - 1.50,Daily/Weekly,24-48 hrs,TEAMKR@SPLASHADVANCE.COM,KR@SPLASHADVANCE.COM,,Kevin Richardson,kr@splashadvance.com,,A-C paper per some sources. Works multiple positions. ISO signed via Adobe Sign 3/3.
Active ✅,2026-03-05,B,Tier B – Mid-Tier,Velocity Capital Group,500+,$10K+/mo,6+ months,$500000,"1st, 2nd",1.20 - 1.50,Daily/Weekly,24-48 hrs,,,,,Zach Dupuy; Meira Shapiro,zach@velocitycg.com,,ISO DocuSigned + W-9 completed 3/5.
Active ✅,2026-03-19,B,Tier B – Mid-Tier,Legend Advance Funding,500+,$10K+/mo,6+ months,$500000,"1st, 2nd",1.20 - 1.50,Daily/Weekly,24-48 hrs,apps@legendfunding.com,Lmoreno@legendfunding.com,,Lily Moreno,Lmoreno@legendfunding.com,754-220-5975,Officially approved as ISO Partner. PDF attachments required. Known as strong 2nd position funder. B-C paper.
Active ✅,2026-03-20,C,Tier C – Flexible,CFG Merchant Solutions,450+,$10K+/mo min (no default/nonprofits/reverses),4+ months,$400000,"1st thru 4th/5th",1.20 - 1.50+,Daily/Weekly,24-48 hrs,GGGSubmissions@CFGMS.com,MRodriquez@CFGMS.com,,Moses Rodriguez,MRodriquez@CFGMS.com,212-444-7680,"B-D paper. $5K-$200K advances. Factor rates as low as 1.3s. Next-day commissions. No 1st pos trucking/construction unless >$50K/mo revenue."
Active ✅,2026-03-25,C,Tier C – Flexible,Immediate Advances,450+,$7K+/mo,4+ months,$250000,"1st thru 4th",1.25 - 1.50+,Daily,24-48 hrs,subs@immediateadvances.com,,,Laveina Lall,laveina@immediateadvances.com,347-977-9073,ISO DocuSigned 3/3. Fully onboarded 3/25. Docs required: W-9 VC DL.
Active ✅,2026-03-25,C,Tier C – Flexible,Lexio Capital,450+,$7K+/mo,4+ months,$250000,"1st thru 4th",1.25 - 1.50+,Daily,24-48 hrs,submissions@lexiocapital.com,"yasmany.soler@lexiocapital.com, verification@lexiocapital.com",,Yasmany Soler,yasmany.soler@lexiocapital.com,,ISO Agreement + Questionnaire + VC + DL + W-9 on file. No PSF fees. Contracts to verification@lexiocapital.com. C-D paper specialist.
Active ✅,2026-04-08,A+,Tier A+ – SBA/Term Loan,NEWITY,640+,,2 years,$5000000,1st,Interest-based ~9.5-10.5% APR (SBA); 15-24% fixed (Growth Term),Monthly,Weeks,partners@newitymarket.com,,https://partner.newitymarket.com/home,Claudia Savala,csavala@newitymarket.com,,SBA 7(a) and NEWITY Growth Term Loans. Partner portal access granted. Referral Agreement signed via PandaDoc 4/8. partnersupport@newitymarket.com for support.
Active ✅,2026-04-22,B,Tier B – Mid-Tier,ONTAP Capital,500+,$10K+/mo,6+ months,$500000,"1st, 2nd",1.20 - 1.50,Daily/Weekly,24-48 hrs,,,,,Tai; Jason,tai@ontapcap.com; jason@ontapcap.com,,ISO Agreement DocuSigned 4/22. Contact Tai or Jason for submissions.
